Dataset,Task,Max_CPU_Usage,Max_Memory_Usage_MiB
500mb,500mb-no-hive-task-3-32,243.61,3715.072
500mb,500mb-hive-task-2,715.33,3443.712
500mb,500mb-no-hive-task-2-4,218.33,3783.68
500mb,500mb-hive-task-3,207.28,2997.248
500mb,500mb-hive-task-1,209.42,2833.408
500mb,500mb-no-hive-task-1-32,316.49,3635.2
500mb,500mb-no-hive-task-1-4,242.56,3219.456
500mb,500mb-no-hive-task-3-4,130.26,3594.24
500mb,500mb-no-hive-task-1-16,256.96,3348.48
500mb,500mb-no-hive-task-3-16,316.82,3696.64
5mb,5mb-no-hive-task-1-4,273.83,2784.256
5mb,5mb-no-hive-task-3-4,237.49,2817.024
5mb,5mb-hive-task-1,255.99,2781.184
5mb,5mb-hive-task-2,299.03,2849.792
5mb,5mb-hive-task-3,244.0,2703.36
5mb,5mb-no-hive-task-2-16,221.73,2842.624
5mb,5mb-no-hive-task-2-4,128.5,2802.688
5mb,5mb-no-hive-task-3-32,244.77,2845.696
5mb,5mb-no-hive-task-1-32,306.2,2804.736
5mb,5mb-no-hive-task-1-16,246.39,2830.336
5mb,5mb-no-hive-task-3-16,183.98,2827.264
5mb,5mb-no-hive-task-2-32,3.25,2829.312
join,500mb-hive-task-2,186.67,3102.72
join,50mb-no-hive-task-2-4,253.38,3048.448
join,500mb-no-hive-task-2-4,297.76,3051.52
join,50mb-no-hive-task-2-16,228.18,2832.384
join,500mb-no-hive-task-2-16,343.38,3324.928
join,50mb-hive-task-2,248.14,3014.656
join,500mb-no-hive-task-2-32,270.84,3519.488
join,50mb-no-hive-task-2-32,244.25,3026.944
50mb,50mb-no-hive-task-2-4,266.37,2805.76
50mb,50mb-no-hive-task-2-16,276.02,2872.32
50mb,50mb-no-hive-task-3-32,260.04,2841.6
50mb,50mb-no-hive-task-1-4,205.26,2751.488
50mb,50mb-no-hive-task-1-32,322.15,2811.904
50mb,50mb-hive-task-1,302.21,2888.704
50mb,50mb-hive-task-3,227.93,2853.888
50mb,50mb-hive-task-2,239.35,2724.864
50mb,50mb-no-hive-task-3-4,219.67,2859.008
50mb,50mb-no-hive-task-1-16,381.29,2785.28
50mb,50mb-no-hive-task-3-16,259.59,2882.56
50mb,50mb-no-hive-task-2-32,114.19,2803.712
